Microorganismo,ANTIMICROBIANO,R,I,S,X,Total general,Clasificacion_bacter
Morganella morganii,Ertapenem,3,1,8,,12,Negativo
Morganella morganii,Gentamicina,6,3,3,,12,Negativo
Morganella morganii,Imipenem,9,3,,,12,Negativo
Morganella morganii,Levofloxacino,6,,,6,12,Negativo
Morganella morganii,Meropenem,3,,9,,12,Negativo
Morganella morganii,Nitrofurantoína,5,,,,5,Negativo
Morganella morganii,Norfloxacino,2,,3,,5,Negativo
Morganella morganii,Piperacilina-Tazobactam,2,,10,,12,Negativo
Morganella morganii,Tetraciclina,4,,1,,5,Negativo
Morganella morganii,Tigeciclina,5,,,2,7,Negativo
Morganella morganii,Trimetoprim-Sulfametoxazol,8,,4,,12,Negativo
Total Morganella morganii,,110,12,96,8,226,
Acinetobacter baumannii/calcoaceticus complejo,Amikacina,,,11,,11,Negativo
Acinetobacter baumannii/calcoaceticus complejo,Amoxicilina-Clavulanato,2,,,,2,Negativo
Acinetobacter baumannii/calcoaceticus complejo,Ampicilina,11,,,,11,Negativo
Acinetobacter baumannii/calcoaceticus complejo,Ampicilina-Sulbactam,1,,8,,9,Negativo
Acinetobacter baumannii/calcoaceticus complejo,Cefazolina,11,,,,11,Negativo
Acinetobacter baumannii/calcoaceticus complejo,Cefepima,2,2,6,,10,Negativo
Acinetobacter baumannii/calcoaceticus complejo,Cefoxitina,11,,,,11,Negativo
Acinetobacter baumannii/calcoaceticus complejo,Ceftazidima,3,1,7,,11,Negativo
Acinetobacter baumannii/calcoaceticus complejo,Ceftriaxona,,,4,6,10,Negativo
Acinetobacter baumannii/calcoaceticus complejo,Cefuroxima,2,,,,2,Negativo
Acinetobacter baumannii/calcoaceticus complejo,Ciprofloxacino,2,1,8,,11,Negativo
Acinetobacter baumannii/calcoaceticus complejo,Colistina,4,,,5,9,Negativo
Acinetobacter baumannii/calcoaceticus complejo,Ertapenem,10,,,,10,Negativo
Acinetobacter baumannii/calcoaceticus complejo,Fosfomicina c/G6P,9,,,,9,Negativo
Acinetobacter baumannii/calcoaceticus complejo,Gentamicina,2,,9,,11,Negativo
Acinetobacter baumannii/calcoaceticus complejo,Imipenem,1,1,9,,11,Negativo
Acinetobacter baumannii/calcoaceticus complejo,Levofloxacino,2,,9,,11,Negativo
Acinetobacter baumannii/calcoaceticus complejo,Meropenem,3,,7,,10,Negativo
Acinetobacter baumannii/calcoaceticus complejo,Nitrofurantoína,2,,,,2,Negativo
Acinetobacter baumannii/calcoaceticus complejo,Piperacilina-Tazobactam,2,1,8,,11,Negativo
Acinetobacter baumannii/calcoaceticus complejo,Tetraciclina,,,2,,2,Negativo
Acinetobacter baumannii/calcoaceticus complejo,Tigeciclina,,,,2,2,Negativo
Acinetobacter baumannii/calcoaceticus complejo,Trimetoprim-Sulfametoxazol,2,,9,,11,Negativo
Total Acinetobacter baumannii/calcoaceticus complejo,,82,6,97,13,198,
Serratia marcescens,Amikacina,,1,10,,11,Negativo
Serratia marcescens,Amoxicilina-Clavulanato,1,,,,1,Negativo
Serratia marcescens,Ampicilina,11,,,,11,Negativo
Serratia marcescens,Ampicilina-Sulbactam,10,,,,10,Negativo
Serratia marcescens,Cefazolina,11,,,,11,Negativo
Serratia marcescens,Cefepima,1,2,7,,10,Negativo
Serratia marcescens,Cefoxitina,11,,,,11,Negativo
Serratia marcescens,Ceftazidima,,1,10,,11,Negativo
Serratia marcescens,Ceftriaxona,4,,7,,11,Negativo
Serratia marcescens,Cefuroxima,1,,,,1,Negativo
Serratia marcescens,Ciprofloxacino,1,,10,,11,Negativo
Serratia marcescens,Colistina,10,,,,10,Negativo
Serratia marcescens,Ertapenem,2,2,7,,11,Negativo
Serratia marcescens,Gentamicina,,2,9,,11,Negativo
Serratia marcescens,Imipenem,4,1,5,,10,Negativo
Serratia marcescens,Levofloxacino,1,,,10,11,Negativo
Serratia marcescens,Meropenem,1,,10,,11,Negativo
Serratia marcescens,Nitrofurantoína,1,,,,1,Negativo
Serratia marcescens,Norfloxacino,1,,,,1,Negativo
Serratia marcescens,Piperacilina-Tazobactam,,,11,,11,Negativo
Serratia marcescens,Tetraciclina,1,,,,1,Negativo
Serratia marcescens,Tigeciclina,1,6,3,,10,Negativo
Serratia marcescens,Trimetoprim-Sulfametoxazol,,,11,,11,Negativo
Total Serratia marcescens,,73,15,100,10,198,
Pseudomonas putida,Amikacina,,1,9,,10,Negativo
Pseudomonas putida,Amoxicilina-Clavulanato,1,,,,1,Negativo
Pseudomonas putida,Ampicilina,10,,,,10,Negativo
Pseudomonas putida,Ampicilina-Sulbactam,9,,,,9,Negativo
Pseudomonas putida,Cefazolina,10,,,,10,Negativo
Pseudomonas putida,Cefepima,1,,9,,10,Negativo
Pseudomonas putida,Cefoxitina,10,,,,10,Negativo
Pseudomonas putida,Ceftazidima,1,,9,,10,Negativo
Pseudomonas putida,Ceftriaxona,,,7,3,10,Negativo
Pseudomonas putida,Cefuroxima,1,,,,1,Negativo
Pseudomonas putida,Ciprofloxacino,1,,9,,10,Negativo
Pseudomonas putida,Colistina,,,,7,7,Negativo
Pseudomonas putida,Ertapenem,10,,,,10,Negativo
Pseudomonas putida,Gentamicina,2,,8,,10,Negativo
Pseudomonas putida,Imipenem,1,1,8,,10,Negativo
Pseudomonas putida,Levofloxacino,1,,9,,10,Negativo
Pseudomonas putida,Meropenem,,1,9,,10,Negativo
Pseudomonas putida,Nitrofurantoína,1,,,,1,Negativo
Pseudomonas putida,Norfloxacino,1,,,,1,Negativo
Pseudomonas putida,Piperacilina-Tazobactam,1,,9,,10,Negativo
