Microorganismo,ANTIMICROBIANO,R,I,S,X,Total general,Clasificacion_bacter
Serratia fonticola,Ampicilina-Sulbactam,2,,,,2,Negativo
Serratia fonticola,Cefazolina,4,,,,4,Negativo
Serratia fonticola,Cefepima,2,1,1,,4,Negativo
Serratia fonticola,Cefoxitina,2,,2,,4,Negativo
Serratia fonticola,Ceftazidima,1,,3,,4,Negativo
Serratia fonticola,Ceftriaxona,3,,1,,4,Negativo
Serratia fonticola,Cefuroxima,2,,,,2,Negativo
Serratia fonticola,Ciprofloxacino,1,,3,,4,Negativo
Serratia fonticola,Colistina,,,,2,2,Negativo
Serratia fonticola,Ertapenem,2,1,1,,4,Negativo
Serratia fonticola,Gentamicina,,,4,,4,Negativo
Serratia fonticola,Imipenem,,,4,,4,Negativo
Serratia fonticola,Levofloxacino,1,,,3,4,Negativo
Serratia fonticola,Meropenem,2,,2,,4,Negativo
Serratia fonticola,Nitrofurantoína,2,,,,2,Negativo
Serratia fonticola,Norfloxacino,,1,1,,2,Negativo
Serratia fonticola,Piperacilina-Tazobactam,,,4,,4,Negativo
Serratia fonticola,Tetraciclina,2,,,,2,Negativo
Serratia fonticola,Tigeciclina,,,2,,2,Negativo
Serratia fonticola,Trimetoprim-Sulfametoxazol,4,,,,4,Negativo
Total Serratia fonticola,,36,3,32,5,76,
Cedecea davisae,Amikacina,,,3,,3,Negativo
Cedecea davisae,Amoxicilina-Clavulanato,1,,,,1,Negativo
Cedecea davisae,Ampicilina,1,,2,,3,Negativo
Cedecea davisae,Ampicilina-Sulbactam,,,2,,2,Negativo
Cedecea davisae,Cefazolina,3,,,,3,Negativo
Cedecea davisae,Cefepima,1,,2,,3,Negativo
Cedecea davisae,Cefoxitina,1,,2,,3,Negativo
Cedecea davisae,Ceftazidima,1,,2,,3,Negativo
Cedecea davisae,Ceftriaxona,2,,1,,3,Negativo
Cedecea davisae,Cefuroxima,,,1,,1,Negativo
Cedecea davisae,Ciprofloxacino,1,1,1,,3,Negativo
Cedecea davisae,Colistina,2,,,,2,Negativo
Cedecea davisae,Ertapenem,1,,2,,3,Negativo
Cedecea davisae,Gentamicina,,,3,,3,Negativo
Cedecea davisae,Imipenem,1,,2,,3,Negativo
Cedecea davisae,Levofloxacino,1,,,2,3,Negativo
Cedecea davisae,Meropenem,,1,2,,3,Negativo
Cedecea davisae,Nitrofurantoína,1,,,,1,Negativo
Cedecea davisae,Norfloxacino,,1,,,1,Negativo
Cedecea davisae,Piperacilina-Tazobactam,,,3,,3,Negativo
Cedecea davisae,Tetraciclina,1,,,,1,Negativo
Cedecea davisae,Tigeciclina,,,2,,2,Negativo
Cedecea davisae,Trimetoprim-Sulfametoxazol,1,,2,,3,Negativo
Total Cedecea davisae,,19,3,32,2,56,
Cedecea lapagei,Amikacina,1,1,1,,3,Negativo
Cedecea lapagei,Amoxicilina-Clavulanato,,,1,,1,Negativo
Cedecea lapagei,Ampicilina,3,,,,3,Negativo
Cedecea lapagei,Ampicilina-Sulbactam,,,2,,2,Negativo
Cedecea lapagei,Cefazolina,2,,1,,3,Negativo
Cedecea lapagei,Cefepima,2,,1,,3,Negativo
Cedecea lapagei,Cefoxitina,2,,1,,3,Negativo
Cedecea lapagei,Ceftazidima,1,1,1,,3,Negativo
Cedecea lapagei,Ceftriaxona,2,,1,,3,Negativo
Cedecea lapagei,Cefuroxima,1,,,,1,Negativo
Cedecea lapagei,Ciprofloxacino,2,,1,,3,Negativo
Cedecea lapagei,Colistina,2,,,,2,Negativo
Cedecea lapagei,Ertapenem,2,,,,2,Negativo
Cedecea lapagei,Gentamicina,1,,2,,3,Negativo
Cedecea lapagei,Imipenem,3,,,,3,Negativo
Cedecea lapagei,Levofloxacino,2,,,1,3,Negativo
Cedecea lapagei,Meropenem,2,,1,,3,Negativo
Cedecea lapagei,Nitrofurantoína,1,,,,1,Negativo
Cedecea lapagei,Norfloxacino,1,,,,1,Negativo
Cedecea lapagei,Piperacilina-Tazobactam,1,1,1,,3,Negativo
Cedecea lapagei,Tetraciclina,1,,,,1,Negativo
Cedecea lapagei,Tigeciclina,1,,1,,2,Negativo
Cedecea lapagei,Trimetoprim-Sulfametoxazol,2,,1,,3,Negativo
Total Cedecea lapagei,,35,3,16,1,55,
Proteus vulgaris,Amikacina,,,3,,3,Negativo
Proteus vulgaris,Amoxicilina-Clavulanato,,,1,,1,Negativo
Proteus vulgaris,Ampicilina,3,,,,3,Negativo
Proteus vulgaris,Ampicilina-Sulbactam,2,,,,2,Negativo
Proteus vulgaris,Cefazolina,3,,,,3,Negativo
Proteus vulgaris,Cefepima,,,3,,3,Negativo
Proteus vulgaris,Cefoxitina,,,3,,3,Negativo
Proteus vulgaris,Ceftazidima,,,3,,3,Negativo
Proteus vulgaris,Ceftriaxona,3,,,,3,Negativo
Proteus vulgaris,Cefuroxima,1,,,,1,Negativo
Proteus vulgaris,Ciprofloxacino,2,,1,,3,Negativo
Proteus vulgaris,Colistina,2,,,,2,Negativo
Proteus vulgaris,Ertapenem,1,,2,,3,Negativo
Proteus vulgaris,Gentamicina,,,3,,3,Negativo
Proteus vulgaris,Imipenem,3,,,,3,Negativo
Proteus vulgaris,Levofloxacino,2,,,1,3,Negativo
Proteus vulgaris,Meropenem,,,3,,3,Negativo
Proteus vulgaris,Nitrofurantoína,1,,,,1,Negativo
Proteus vulgaris,Norfloxacino,,,1,,1,Negativo
Proteus vulgaris,Piperacilina-Tazobactam,,,3,,3,Negativo
Proteus vulgaris,Tetraciclina,1,,,,1,Negativo
Proteus vulgaris,Tigeciclina,2,,,,2,Negativo
Proteus vulgaris,Trimetoprim-Sulfametoxazol,1,,2,,3,Negativo
Total Proteus vulgaris,,27,,28,1,56,
Serratia plymuthica,Amikacina,,,3,,3,Negativo
Serratia plymuthica,Amoxicilina-Clavulanato,1,,,,1,Negativo
Serratia plymuthica,Ampicilina,3,,,,3,Negativo
Serratia plymuthica,Ampicilina-Sulbactam,2,,,,2,Negativo
Serratia plymuthica,Cefazolina,3,,,,3,Negativo
Serratia plymuthica,Cefepima,,1,2,,3,Negativo
Serratia plymuthica,Cefoxitina,2,1,,,3,Negativo
Serratia plymuthica,Ceftazidima,,,3,,3,Negativo
Serratia plymuthica,Ceftriaxona,1,,2,,3,Negativo
Serratia plymuthica,Cefuroxima,1,,,,1,Negativo
Serratia plymuthica,Ciprofloxacino,2,1,,,3,Negativo
Serratia plymuthica,Colistina,2,,,,2,Negativo
Serratia plymuthica,Ertapenem,,,3,,3,Negativo
Serratia plymuthica,Gentamicina,,,3,,3,Negativo
Serratia plymuthica,Imipenem,,,3,,3,Negativo
Serratia plymuthica,Levofloxacino,1,,,2,3,Negativo
Serratia plymuthica,Meropenem,,1,2,,3,Negativo
Serratia plymuthica,Nitrofurantoína,1,,,,1,Negativo
Serratia plymuthica,Norfloxacino,1,,,,1,Negativo
Serratia plymuthica,Piperacilina-Tazobactam,,,3,,3,Negativo
Serratia plymuthica,Tetraciclina,1,,,,1,Negativo
Serratia plymuthica,Tigeciclina,,1,1,,2,Negativo
Serratia plymuthica,Trimetoprim-Sulfametoxazol,,,3,,3,Negativo
Total Serratia plymuthica,,21,5,28,2,56,
Aeromonas caviae,Amikacina,,,2,,2,Negativo
Aeromonas caviae,Amoxicilina-Clavulanato,1,,,,1,Negativo
Aeromonas caviae,Ampicilina,2,,,,2,Negativo
Aeromonas caviae,Cefazolina,2,,,,2,Negativo
Aeromonas caviae,Cefepima,,,2,,2,Negativo
Aeromonas caviae,Cefoxitina,1,,1,,2,Negativo
Aeromonas caviae,Ceftazidima,,,2,,2,Negativo
Aeromonas caviae,Ceftriaxona,,,2,,2,Negativo
Aeromonas caviae,Cefuroxima,,,1,,1,Negativo
Aeromonas caviae,Ciprofloxacino,,,2,,2,Negativo
Aeromonas caviae,Ertapenem,,,2,,2,Negativo
Aeromonas caviae,Gentamicina,,,2,,2,Negativo
Aeromonas caviae,Imipenem,,,2,,2,Negativo
Aeromonas caviae,Levofloxacino,,,,2,2,Negativo
Aeromonas caviae,Meropenem,,,2,,2,Negativo
Aeromonas caviae,Piperacilina-Tazobactam,,,2,,2,Negativo
Aeromonas caviae,Tetraciclina,1,,,,1,Negativo
Aeromonas caviae,Trimetoprim-Sulfametoxazol,1,,1,,2,Negativo
Total Aeromonas caviae,,8,,23,2,33,
Cedecea neteri,Amikacina,1,1,,,2,Negativo
Cedecea neteri,Amoxicilina-Clavulanato,,,2,,2,Negativo
Cedecea neteri,Ampicilina,,,2,,2,Negativo
Cedecea neteri,Cefazolina,2,,,,2,Negativo
Cedecea neteri,Cefepima,2,,,,2,Negativo
Cedecea neteri,Cefoxitina,2,,,,2,Negativo
Cedecea neteri,Ceftazidima,2,,,,2,Negativo
Cedecea neteri,Ceftriaxona,2,,,,2,Negativo
Cedecea neteri,Cefuroxima,2,,,,2,Negativo
Cedecea neteri,Ciprofloxacino,1,,,,1,Negativo
Cedecea neteri,Ertapenem,2,,,,2,Negativo
Cedecea neteri,Gentamicina,,1,1,,2,Negativo
Cedecea neteri,Imipenem,,1,1,,2,Negativo
Cedecea neteri,Levofloxacino,1,,,,1,Negativo
Cedecea neteri,Meropenem,2,,,,2,Negativo
Cedecea neteri,Nitrofurantoína,1,1,,,2,Negativo
Cedecea neteri,Norfloxacino,1,1,,,2,Negativo
Cedecea neteri,Piperacilina-Tazobactam,,,2,,2,Negativo
Cedecea neteri,Tetraciclina,1,,1,,2,Negativo
Cedecea neteri,Trimetoprim-Sulfametoxazol,,,2,,2,Negativo
Total Cedecea neteri,,22,5,11,,38,
Citrobacter braakii,Amikacina,1,,1,,2,Negativo
Citrobacter braakii,Amoxicilina-Clavulanato,1,,,,1,Negativo
Citrobacter braakii,Ampicilina,2,,,,2,Negativo
Citrobacter braakii,Ampicilina-Sulbactam,1,,,,1,Negativo
Citrobacter braakii,Cefazolina,2,,,,2,Negativo
Citrobacter braakii,Cefepima,2,,,,2,Negativo
Citrobacter braakii,Cefoxitina,2,,,,2,Negativo
Citrobacter braakii,Ceftazidima,2,,,,2,Negativo
Citrobacter braakii,Ceftriaxona,2,,,,2,Negativo
Citrobacter braakii,Cefuroxima,1,,,,1,Negativo
Citrobacter braakii,Ciprofloxacino,2,,,,2,Negativo
Citrobacter braakii,Colistina,1,,,,1,Negativo
Citrobacter braakii,Ertapenem,,,2,,2,Negativo
Citrobacter braakii,Gentamicina,1,,1,,2,Negativo
Citrobacter braakii,Imipenem,1,,1,,2,Negativo
Citrobacter braakii,Levofloxacino,2,,,,2,Negativo
Citrobacter braakii,Meropenem,,,2,,2,Negativo
Citrobacter braakii,Nitrofurantoína,,1,,,1,Negativo
Citrobacter braakii,Norfloxacino,1,,,,1,Negativo
Citrobacter braakii,Piperacilina-Tazobactam,1,1,,,2,Negativo
Citrobacter braakii,Tetraciclina,1,,,,1,Negativo
Citrobacter braakii,Tigeciclina,,1,,,1,Negativo
Citrobacter braakii,Trimetoprim-Sulfametoxazol,2,,,,2,Negativo
Total Citrobacter braakii,,28,3,7,,38,
Citrobacter youngae,Amikacina,,,2,,2,Negativo
Citrobacter youngae,Ampicilina,2,,,,2,Negativo
Citrobacter youngae,Ampicilina-Sulbactam,2,,,,2,Negativo
Citrobacter youngae,Cefazolina,2,,,,2,Negativo
Citrobacter youngae,Cefepima,2,,,,2,Negativo
Citrobacter youngae,Cefoxitina,1,1,,,2,Negativo
Citrobacter youngae,Ceftazidima,2,,,,2,Negativo
Citrobacter youngae,Ceftriaxona,2,,,,2,Negativo
Citrobacter youngae,Ciprofloxacino,2,,,,2,Negativo
Citrobacter youngae,Colistina,,,,2,2,Negativo
Citrobacter youngae,Ertapenem,1,1,,,2,Negativo
Citrobacter youngae,Gentamicina,1,,1,,2,Negativo
Citrobacter youngae,Imipenem,2,,,,2,Negativo
Citrobacter youngae,Levofloxacino,2,,,,2,Negativo
Citrobacter youngae,Meropenem,1,,1,,2,Negativo
Citrobacter youngae,Piperacilina-Tazobactam,1,1,,,2,Negativo
Citrobacter youngae,Tigeciclina,2,,,,2,Negativo
Citrobacter youngae,Trimetoprim-Sulfametoxazol,2,,,,2,Negativo
Total Citrobacter youngae,,27,3,4,2,36,
Providencia rettgeri,Amikacina,1,,1,,2,Negativo
Providencia rettgeri,Amoxicilina-Clavulanato,2,,,,2,Negativo
Providencia rettgeri,Ampicilina,2,,,,2,Negativo
Providencia rettgeri,Cefazolina,2,,,,2,Negativo
Providencia rettgeri,Cefepima,1,,1,,2,Negativo
Providencia rettgeri,Cefoxitina,,,2,,2,Negativo
Providencia rettgeri,Ceftazidima,1,,1,,2,Negativo
Providencia rettgeri,Ceftriaxona,2,,,,2,Negativo
Providencia rettgeri,Cefuroxima,2,,,,2,Negativo
Providencia rettgeri,Ciprofloxacino,2,,,,2,Negativo
Providencia rettgeri,Ertapenem,1,,1,,2,Negativo
Providencia rettgeri,Gentamicina,2,,,,2,Negativo
Providencia rettgeri,Imipenem,,1,1,,2,Negativo
Providencia rettgeri,Levofloxacino,2,,,,2,Negativo
Providencia rettgeri,Meropenem,,,2,,2,Negativo
Providencia rettgeri,Nitrofurantoína,2,,,,2,Negativo
Providencia rettgeri,Norfloxacino,1,1,,,2,Negativo
Providencia rettgeri,Piperacilina-Tazobactam,,,2,,2,Negativo
Providencia rettgeri,Tetraciclina,2,,,,2,Negativo
Providencia rettgeri,Trimetoprim-Sulfametoxazol,2,,,,2,Negativo
Total Providencia rettgeri,,27,2,11,,40,
Serratia liquefaciens,Amikacina,1,,1,,2,Negativo
Serratia liquefaciens,Amoxicilina-Clavulanato,1,,,,1,Negativo
Serratia liquefaciens,Ampicilina,2,,,,2,Negativo
Serratia liquefaciens,Ampicilina-Sulbactam,1,,,,1,Negativo
Serratia liquefaciens,Cefazolina,2,,,,2,Negativo
Serratia liquefaciens,Cefepima,2,,,,2,Negativo
Serratia liquefaciens,Cefoxitina,2,,,,2,Negativo
Serratia liquefaciens,Ceftazidima,1,,1,,2,Negativo
Serratia liquefaciens,Ceftriaxona,2,,,,2,Negativo
Serratia liquefaciens,Cefuroxima,1,,,,1,Negativo
Serratia liquefaciens,Ciprofloxacino,1,,1,,2,Negativo
Serratia liquefaciens,Colistina,1,,,,1,Negativo
Serratia liquefaciens,Ertapenem,2,,,,2,Negativo
Serratia liquefaciens,Gentamicina,1,,1,,2,Negativo
Serratia liquefaciens,Imipenem,2,,,,2,Negativo
Serratia liquefaciens,Levofloxacino,1,,,1,2,Negativo
Serratia liquefaciens,Meropenem,1,1,,,2,Negativo
Serratia liquefaciens,Nitrofurantoína,1,,,,1,Negativo
Serratia liquefaciens,Norfloxacino,1,,,,1,Negativo
Serratia liquefaciens,Piperacilina-Tazobactam,1,,1,,2,Negativo
Serratia liquefaciens,Tetraciclina,1,,,,1,Negativo
Serratia liquefaciens,Tigeciclina,,1,,,1,Negativo
Serratia liquefaciens,Trimetoprim-Sulfametoxazol,1,,1,,2,Negativo
Total Serratia liquefaciens,,29,2,6,1,38,
Serratia odorifera 1,Amikacina,,,2,,2,Negativo
Serratia odorifera 1,Ampicilina,2,,,,2,Negativo
Serratia odorifera 1,Ampicilina-Sulbactam,2,,,,2,Negativo
Serratia odorifera 1,Cefazolina,2,,,,2,Negativo
Serratia odorifera 1,Cefepima,,,2,,2,Negativo
Serratia odorifera 1,Cefoxitina,,,2,,2,Negativo
Serratia odorifera 1,Ceftazidima,,,2,,2,Negativo
Serratia odorifera 1,Ceftriaxona,1,,1,,2,Negativo
Serratia odorifera 1,Ciprofloxacino,,,2,,2,Negativo
Serratia odorifera 1,Colistina,1,,,1,2,Negativo
Serratia odorifera 1,Ertapenem,1,,1,,2,Negativo
Serratia odorifera 1,Gentamicina,,,2,,2,Negativo
Serratia odorifera 1,Imipenem,,1,1,,2,Negativo
Serratia odorifera 1,Levofloxacino,,,,2,2,Negativo
Serratia odorifera 1,Meropenem,,,2,,2,Negativo
Serratia odorifera 1,Piperacilina-Tazobactam,,,2,,2,Negativo
Serratia odorifera 1,Tigeciclina,,,2,,2,Negativo
Serratia odorifera 1,Trimetoprim-Sulfametoxazol,,,2,,2,Negativo
Total Serratia odorifera 1,,9,1,23,3,36,
Acinetobacter lwoffii/haemolyticus,Amikacina,,,1,,1,Negativo
Acinetobacter lwoffii/haemolyticus,Ampicilina-Sulbactam,,,1,,1,Negativo
Acinetobacter lwoffii/haemolyticus,Cefepima,,,1,,1,Negativo
Acinetobacter lwoffii/haemolyticus,Ceftazidima,,,1,,1,Negativo
Acinetobacter lwoffii/haemolyticus,Ceftriaxona,,,1,,1,Negativo
Acinetobacter lwoffii/haemolyticus,Ciprofloxacino,,,1,,1,Negativo
Acinetobacter lwoffii/haemolyticus,Colistina,,,,1,1,Negativo
Acinetobacter lwoffii/haemolyticus,Gentamicina,,,1,,1,Negativo
Acinetobacter lwoffii/haemolyticus,Imipenem,,,1,,1,Negativo
Acinetobacter lwoffii/haemolyticus,Levofloxacino,,,1,,1,Negativo
Acinetobacter lwoffii/haemolyticus,Meropenem,,,1,,1,Negativo
Acinetobacter lwoffii/haemolyticus,Piperacilina-Tazobactam,,,1,,1,Negativo
Acinetobacter lwoffii/haemolyticus,Trimetoprim-Sulfametoxazol,,,1,,1,Negativo
Total Acinetobacter lwoffii/haemolyticus,,,,12,1,13,
Aeromonas salmonicida ssp masoucida,Amikacina,,,1,,1,Negativo
Aeromonas salmonicida ssp masoucida,Ampicilina,1,,,,1,Negativo
Aeromonas salmonicida ssp masoucida,Cefazolina,1,,,,1,Negativo
Aeromonas salmonicida ssp masoucida,Cefepima,,1,,,1,Negativo
Aeromonas salmonicida ssp masoucida,Cefoxitina,,,1,,1,Negativo
Aeromonas salmonicida ssp masoucida,Ceftazidima,1,,,,1,Negativo
Aeromonas salmonicida ssp masoucida,Ceftriaxona,1,,,,1,Negativo
Aeromonas salmonicida ssp masoucida,Ciprofloxacino,1,,,,1,Negativo
Aeromonas salmonicida ssp masoucida,Ertapenem,1,,,,1,Negativo
Aeromonas salmonicida ssp masoucida,Gentamicina,1,,,,1,Negativo
Aeromonas salmonicida ssp masoucida,Imipenem,,,1,,1,Negativo
Aeromonas salmonicida ssp masoucida,Levofloxacino,1,,,,1,Negativo
Aeromonas salmonicida ssp masoucida,Meropenem,,,1,,1,Negativo
Aeromonas salmonicida ssp masoucida,Piperacilina-Tazobactam,,,1,,1,Negativo
Aeromonas salmonicida ssp masoucida,Tigeciclina,,,,1,1,Negativo
Aeromonas salmonicida ssp masoucida,Trimetoprim-Sulfametoxazol,1,,,,1,Negativo
Total Aeromonas salmonicida ssp masoucida,,9,1,5,1,16,
Aeromonas salmonicida ssp salmonicida,Amikacina,,,1,,1,Negativo
Aeromonas salmonicida ssp salmonicida,Ampicilina,1,,,,1,Negativo
Aeromonas salmonicida ssp salmonicida,Cefazolina,1,,,,1,Negativo
Aeromonas salmonicida ssp salmonicida,Cefepima,,,1,,1,Negativo
Aeromonas salmonicida ssp salmonicida,Cefoxitina,1,,,,1,Negativo
Aeromonas salmonicida ssp salmonicida,Ceftazidima,,,1,,1,Negativo
Aeromonas salmonicida ssp salmonicida,Ceftriaxona,,,1,,1,Negativo
Aeromonas salmonicida ssp salmonicida,Ciprofloxacino,,,1,,1,Negativo
Aeromonas salmonicida ssp salmonicida,Ertapenem,,,1,,1,Negativo
Aeromonas salmonicida ssp salmonicida,Gentamicina,,,1,,1,Negativo
Aeromonas salmonicida ssp salmonicida,Imipenem,,,1,,1,Negativo
Aeromonas salmonicida ssp salmonicida,Levofloxacino,,,,1,1,Negativo
Aeromonas salmonicida ssp salmonicida,Meropenem,,,1,,1,Negativo
Aeromonas salmonicida ssp salmonicida,Piperacilina-Tazobactam,,,1,,1,Negativo
Aeromonas salmonicida ssp salmonicida,Trimetoprim-Sulfametoxazol,,,1,,1,Negativo
Total Aeromonas salmonicida ssp salmonicida,,3,,11,1,15,
Hafnia alvei,Amikacina,,,1,,1,Negativo
Hafnia alvei,Ampicilina,1,,,,1,Negativo
Hafnia alvei,Ampicilina-Sulbactam,1,,,,1,Negativo
Hafnia alvei,Cefazolina,1,,,,1,Negativo
Hafnia alvei,Cefepima,1,,,,1,Negativo
Hafnia alvei,Cefoxitina,1,,,,1,Negativo
Hafnia alvei,Ceftazidima,1,,,,1,Negativo
Hafnia alvei,Ceftriaxona,1,,,,1,Negativo
Hafnia alvei,Ciprofloxacino,1,,,,1,Negativo
Hafnia alvei,Colistina,1,,,,1,Negativo
Hafnia alvei,Ertapenem,1,,,,1,Negativo
Hafnia alvei,Gentamicina,,,1,,1,Negativo
Hafnia alvei,Imipenem,,1,,,1,Negativo
Hafnia alvei,Levofloxacino,1,,,,1,Negativo
Hafnia alvei,Meropenem,,1,,,1,Negativo
Hafnia alvei,Piperacilina-Tazobactam,1,,,,1,Negativo
Hafnia alvei,Tigeciclina,1,,,,1,Negativo
Hafnia alvei,Trimetoprim-Sulfametoxazol,1,,,,1,Negativo
Total Hafnia alvei,,14,2,2,,18,
Pluralibacter gergoviae,Amikacina,,,1,,1,Negativo
Pluralibacter gergoviae,Ampicilina,1,,,,1,Negativo
Pluralibacter gergoviae,Ampicilina-Sulbactam,1,,,,1,Negativo
Pluralibacter gergoviae,Cefazolina,1,,,,1,Negativo
Pluralibacter gergoviae,Cefepima,,,1,,1,Negativo
Pluralibacter gergoviae,Cefoxitina,1,,,,1,Negativo
Pluralibacter gergoviae,Ceftazidima,,,1,,1,Negativo
Pluralibacter gergoviae,Ceftriaxona,1,,,,1,Negativo
Pluralibacter gergoviae,Ciprofloxacino,,,1,,1,Negativo
Pluralibacter gergoviae,Colistina,,,,1,1,Negativo
Pluralibacter gergoviae,Ertapenem,1,,,,1,Negativo
Pluralibacter gergoviae,Gentamicina,,,1,,1,Negativo
Pluralibacter gergoviae,Imipenem,,1,,,1,Negativo
Pluralibacter gergoviae,Levofloxacino,,,,1,1,Negativo
Pluralibacter gergoviae,Meropenem,,,1,,1,Negativo
Pluralibacter gergoviae,Piperacilina-Tazobactam,,,1,,1,Negativo
Pluralibacter gergoviae,Tigeciclina,,,1,,1,Negativo
Pluralibacter gergoviae,Trimetoprim-Sulfametoxazol,,,1,,1,Negativo
Total Pluralibacter gergoviae,,6,1,9,2,18,
Proteus vulgaris/penneri,Amikacina,,,1,,1,Negativo
Proteus vulgaris/penneri,Ampicilina,1,,,,1,Negativo
Proteus vulgaris/penneri,Ampicilina-Sulbactam,,,1,,1,Negativo
Proteus vulgaris/penneri,Cefazolina,1,,,,1,Negativo
Proteus vulgaris/penneri,Cefepima,,,1,,1,Negativo
Proteus vulgaris/penneri,Cefoxitina,,,1,,1,Negativo
Proteus vulgaris/penneri,Ceftazidima,,,1,,1,Negativo
Proteus vulgaris/penneri,Ceftriaxona,,,1,,1,Negativo
Proteus vulgaris/penneri,Ciprofloxacino,,,1,,1,Negativo
Proteus vulgaris/penneri,Colistina,1,,,,1,Negativo
Proteus vulgaris/penneri,Ertapenem,1,,,,1,Negativo
Proteus vulgaris/penneri,Gentamicina,,,1,,1,Negativo
Proteus vulgaris/penneri,Imipenem,,1,,,1,Negativo
Proteus vulgaris/penneri,Levofloxacino,,,,1,1,Negativo
Proteus vulgaris/penneri,Meropenem,1,,,,1,Negativo
Proteus vulgaris/penneri,Piperacilina-Tazobactam,,,1,,1,Negativo
Proteus vulgaris/penneri,Tigeciclina,,,,1,1,Negativo
Proteus vulgaris/penneri,Trimetoprim-Sulfametoxazol,1,,,,1,Negativo
Total Proteus vulgaris/penneri,,6,1,9,2,18,
Pseudomonas fluorescens,Amikacina,,,1,,1,Negativo
Pseudomonas fluorescens,Ampicilina,1,,,,1,Negativo
Pseudomonas fluorescens,Ampicilina-Sulbactam,1,,,,1,Negativo
Pseudomonas fluorescens,Cefazolina,1,,,,1,Negativo
Pseudomonas fluorescens,Cefepima,,,1,,1,Negativo
Pseudomonas fluorescens,Cefoxitina,1,,,,1,Negativo
Pseudomonas fluorescens,Ceftazidima,,,1,,1,Negativo
Pseudomonas fluorescens,Ceftriaxona,,,,1,1,Negativo
Pseudomonas fluorescens,Ciprofloxacino,,,1,,1,Negativo
Pseudomonas fluorescens,Colistina,,,,1,1,Negativo
Pseudomonas fluorescens,Ertapenem,1,,,,1,Negativo
Pseudomonas fluorescens,Gentamicina,,,1,,1,Negativo
Pseudomonas fluorescens,Imipenem,,,1,,1,Negativo
Pseudomonas fluorescens,Levofloxacino,,,1,,1,Negativo
Pseudomonas fluorescens,Meropenem,,,1,,1,Negativo
Pseudomonas fluorescens,Piperacilina-Tazobactam,,,1,,1,Negativo
Pseudomonas fluorescens,Trimetoprim-Sulfametoxazol,,,1,,1,Negativo
Total Pseudomonas fluorescens,,5,,10,2,17,
Pseudomonas luteola,Amikacina,,,1,,1,Negativo
Pseudomonas luteola,Ampicilina,1,,,,1,Negativo
Pseudomonas luteola,Cefazolina,1,,,,1,Negativo
Pseudomonas luteola,Cefepima,,,1,,1,Negativo
Pseudomonas luteola,Cefoxitina,1,,,,1,Negativo
Pseudomonas luteola,Ceftazidima,,,1,,1,Negativo
Pseudomonas luteola,Ceftriaxona,,,1,,1,Negativo
Pseudomonas luteola,Ciprofloxacino,,,1,,1,Negativo
Pseudomonas luteola,Colistina,,,,1,1,Negativo
Pseudomonas luteola,Ertapenem,1,,,,1,Negativo
Pseudomonas luteola,Gentamicina,,,1,,1,Negativo
Pseudomonas luteola,Imipenem,,,1,,1,Negativo
Pseudomonas luteola,Levofloxacino,,,1,,1,Negativo
Pseudomonas luteola,Meropenem,,,1,,1,Negativo
Pseudomonas luteola,Piperacilina-Tazobactam,,,1,,1,Negativo
Pseudomonas luteola,Trimetoprim-Sulfametoxazol,,,1,,1,Negativo
Total Pseudomonas luteola,,4,,11,1,16,
Pseudomonas mendocina,Amikacina,1,,,,1,Negativo
Pseudomonas mendocina,Ampicilina,1,,,,1,Negativo
Pseudomonas mendocina,Cefazolina,1,,,,1,Negativo
Pseudomonas mendocina,Cefepima,1,,,,1,Negativo
Pseudomonas mendocina,Cefoxitina,1,,,,1,Negativo
Pseudomonas mendocina,Ceftazidima,1,,,,1,Negativo
Pseudomonas mendocina,Ceftriaxona,,,,1,1,Negativo
Pseudomonas mendocina,Ciprofloxacino,1,,,,1,Negativo
Pseudomonas mendocina,Colistina,,,,1,1,Negativo
Pseudomonas mendocina,Ertapenem,1,,,,1,Negativo
Pseudomonas mendocina,Gentamicina,1,,,,1,Negativo
Pseudomonas mendocina,Imipenem,1,,,,1,Negativo
Pseudomonas mendocina,Levofloxacino,1,,,,1,Negativo
Pseudomonas mendocina,Meropenem,1,,,,1,Negativo
Pseudomonas mendocina,Piperacilina-Tazobactam,,1,,,1,Negativo
Pseudomonas mendocina,Tigeciclina,,,,1,1,Negativo
Pseudomonas mendocina,Trimetoprim-Sulfametoxazol,1,,,,1,Negativo
Total Pseudomonas mendocina,,13,1,,3,17,
Pseudomonas spp.,Amikacina,,,1,,1,Negativo
Pseudomonas spp.,Ampicilina,1,,,,1,Negativo
Pseudomonas spp.,Cefazolina,1,,,,1,Negativo
Pseudomonas spp.,Cefepima,,,1,,1,Negativo
Pseudomonas spp.,Cefoxitina,1,,,,1,Negativo
Pseudomonas spp.,Ceftazidima,,,1,,1,Negativo
Pseudomonas spp.,Ceftriaxona,,,1,,1,Negativo
Pseudomonas spp.,Ciprofloxacino,,,1,,1,Negativo
Pseudomonas spp.,Colistina,,,,1,1,Negativo
Pseudomonas spp.,Ertapenem,1,,,,1,Negativo
Pseudomonas spp.,Gentamicina,,,1,,1,Negativo
Pseudomonas spp.,Imipenem,,,1,,1,Negativo
Pseudomonas spp.,Levofloxacino,,,1,,1,Negativo
Pseudomonas spp.,Meropenem,,,1,,1,Negativo
Pseudomonas spp.,Piperacilina-Tazobactam,,,1,,1,Negativo
